"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Page Follower",25-34,unknown,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",3.66,37,58,6,45,,7,,,57,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,unknown,"เหรียญเก่า 5 เหรียญที่เก็บไว้",3.62,4,10,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,female,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",3.54,484,500,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,unknown,ขายทองแล้วได้ราคาไม่สูง,3.34,7,15,,2,,,,,2,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,unknown,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",3.1,28,44,2,27,,2,,,42,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,unknown,"เหรียญเก่า 5 เหรียญที่เก็บไว้",2.82,7,17,1,1,,,,,2,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,unknown,"เหรียญเก่า 5 เหรียญที่เก็บไว้",2.7,17,37,,1,,,,,6,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,unknown,ขายทองแล้วได้ราคาไม่สูง,2.3,4,7,1,1,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,unknown,ขายทองแล้วได้ราคาไม่สูง,2.18,4,7,,4,,2,,,2,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,unknown,ขายทองแล้วได้ราคาไม่สูง,2.13,15,40,,3,,1,,,4,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,female,"รับซื้อหมด ทอง เงืน นาก",1.88,229,237,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,unknown,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",1.65,14,33,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",1.36,164,203,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",1.33,120,182,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,unknown,"เหรียญเก่า 5 เหรียญที่เก็บไว้",1.21,9,10,,1,,,,,1,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,unknown,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",1.2,13,17,1,18,,4,,,17,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",1.19,134,164,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,female,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",1.06,139,142,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",1.03,113,142,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,unknown,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",0.97,9,16,,9,,1,,,16,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.58,63,87,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,unknown,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",0.42,7,12,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.38,42,54,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,unknown,"รับซื้อหมด ทอง เงืน นาก",0.25,37,41,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,unknown,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",0.2,3,4,1,1,,,,,4,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,unknown,"รับซื้อหมด ทอง เงืน นาก",0.18,18,19,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,unknown,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",0.14,15,16,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,unknown,"รับซื้อหมด ทอง เงืน นาก",0.09,17,17,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,unknown,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",0.08,9,9,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,unknown,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",0.08,11,11,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,unknown,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",0.06,9,10,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,unknown,"รับซื้อหมด ทอง เงืน นาก",0.05,10,10,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,unknown,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",0.03,3,3,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,unknown,"รับซื้อหมด ทอง เงืน นาก",0.03,4,4,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,unknown,"รับซื้อหมด ทอง เงืน นาก",0.03,4,4,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,unknown,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",0.02,3,3,,,,,,,,,2026-08-01,2026-08-31
