"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,female,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",202.31,2966,4835,,1549,4,265,3,2,4368,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",182.68,14185,26108,,1546,,7,,,23211,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,female,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",168.39,3777,5248,,554,,163,1,,4232,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",168.18,4182,5524,,1519,1,249,,2,5101,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,male,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",149.76,2204,3878,,1315,,241,2,,3622,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",45-54,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",129.1,2099,2471,,1959,,6,,1,2437,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",128.71,3220,3885,,1001,,200,,,3578,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",124.59,2542,2840,,894,,284,,,2667,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,female,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",123.51,2642,3772,,469,,91,1,,2923,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,female,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",121.03,1813,3004,,1082,,178,4,4,2780,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",55-64,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",110.43,1908,2274,,1699,,7,,,2235,2026-06-01,2026-06-29
