"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Awareness | May 2026",65+,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.69,58,89,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,unknown,"ร้อนเงินเป็นไฟ สี่-05",0.67,124,148,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",18-24,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.63,11,18,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,unknown,"ร้อนเงินเป็นไฟ สี่-05",0.61,119,138,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,unknown,"ร้อนเงินเป็นไฟ สี่-05",0.6,111,121,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",0.58,40,71,,8,,,,,66,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,male,"ร้อนเงินเป็นไฟ สี่-07",0.45,60,64,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,male,"ร้อนเงินเป็นไฟ สี่-02",0.44,50,56,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,unknown,"ร้อนเงินเป็นไฟ สี่-05",0.37,61,72,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,female,"ร้อนเงินเป็นไฟ สี่-02",0.24,28,33,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,female,"ร้อนเงินเป็นไฟ สี่-07",0.17,26,29,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,unknown,"ร้อนเงินเป็นไฟ สี่-05",0.17,40,45,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",0.15,17,21,,1,,,,,18,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,female,"ร้อนเงินเป็นไฟ สี่-02",0.14,15,18,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",0.09,8,8,,,,,,,7,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",0.09,10,10,,,,,,,10,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",0.08,9,10,,2,,,,,9,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",0.05,7,8,,1,,,,,6,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",0.03,4,4,,,,,,,3,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,unknown,"ร้อนเงินเป็นไฟ สี่-07",0.02,2,2,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,unknown,"ร้อนเงินเป็นไฟ สี่-07",0.02,2,2,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,unknown,"ร้อนเงินเป็นไฟ สี่-02",0.01,1,1,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,unknown,"ร้อนเงินเป็นไฟ สี่-02",0.01,1,1,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,unknown,"ร้อนเงินเป็นไฟ สี่-02",0.01,1,1,,,,,,,,2026-05-01,2026-05-31
