"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Lead Gen B2B | 2026",25-34,unknown,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",35.28,197,395,,2,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,female,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",35.03,852,969,,11,,8,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",35-44,female,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",34.84,401,419,,5,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",25-34,male,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",33.94,503,592,,4,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,female,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",32.79,861,940,,6,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,female,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",32.73,740,848,,5,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",45-54,female,"รับซื้อหมด ทอง เงืน นาก",31.82,5554,5554,,3,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",55-64,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",31.73,987,1285,5,6,,6,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,female,"ทองบางชิ้น ทำไมขายคืนยาก",31.06,241,289,9,5,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,male,"ทองบางชิ้น ทำไมขายคืนยาก",30.77,275,333,7,4,,4,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",55-64,male,"รับซื้อหมด ทอง เงืน นาก",30.56,4279,4506,,5,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,female,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",29.39,733,793,,13,,10,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,female,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",27.81,672,728,,3,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,female,"ทองบางชิ้น ทำไมขายคืนยาก",27.35,288,314,7,6,,2,1,2,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",65+,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",25.64,906,1068,8,3,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",35-44,unknown,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",25.37,138,261,,5,,3,,,,1,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",55-64,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",25.11,849,1013,8,2,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,female,ลูกค้าตกใจกับราคา,24.66,188,285,14,166,,15,1,,273,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,male,ลูกค้าตกใจกับราคา,24.07,172,281,10,132,,8,,,268,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",45-54,female,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",23.84,225,243,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",65+,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",23.79,749,826,4,3,,1,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,male,"ทองบางชิ้น ทำไมขายคืนยาก",23.63,327,385,5,6,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",25-34,female,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",23.31,248,277,,3,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,male,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",16.51,415,470,,3,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",45-54,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",16.1,3269,3306,,1,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",35-44,female,"รับซื้อหมด ทอง เงืน นาก",15.71,3046,3140,,3,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",25-34,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",15.12,349,425,4,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,male,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",14.18,378,399,,3,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,male,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",13.85,415,425,,5,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",25-34,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",13.43,236,269,3,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",45-54,unknown,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",12.8,73,185,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",12.25,50,81,3,31,,3,1,,68,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",55-64,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",11.17,1691,1706,,5,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,male,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",10.04,229,257,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",35-44,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",9.79,2066,2066,,1,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",25-34,male,"รับซื้อหมด ทอง เงืน นาก",8.86,1218,1237,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,male,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",8.55,212,246,,2,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,female,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",8.49,208,222,,3,,3,,,,,2026-07-01,2026-07-21
